"director_id";"genre";"prob"
2;"Short";1.0
3;"Drama";1.0
5;"Documentary";1.0
6;"Drama";1.0
6;"Short";1.0
8;"Action";0.666667
8;"Adventure";0.037037
8;"Comedy";0.185185
8;"Crime";0.148148
8;"Drama";0.592593
8;"Family";0.407407
8;"Romance";0.222222
8;"Thriller";0.111111
10;"Comedy";1.0
10;"Short";1.0
11;"Drama";1.0
12;"Comedy";1.0
16;"Short";1.0
18;"Animation";1.0
18;"Comedy";1.0
18;"Short";1.0
20;"Documentary";1.0
21;"Documentary";1.0
22;"Comedy";0.125
22;"Crime";0.125
22;"Documentary";0.25
22;"Drama";0.625
22;"Thriller";0.375
23;"Horror";1.0
23;"Thriller";1.0
26;"Action";0.5
26;"Family";0.5
26;"Sci-Fi";0.5
26;"Short";0.5
28;"Animation";1.0
28;"Short";1.0
31;"Action";0.0909091
31;"Comedy";0.363636
31;"Crime";0.181818
31;"Drama";0.545455
31;"Family";0.0909091
31;"Romance";0.181818
32;"Drama";1.0
33;"Documentary";0.5
33;"Short";0.5
35;"Drama";1.0
37;"Action";0.4
37;"Adventure";0.2
37;"Comedy";0.2
37;"Crime";0.6
37;"Drama";0.4
37;"Romance";0.2
37;"Short";0.4
38;"Short";1.0
40;"Documentary";1.0
40;"Short";1.0
41;"Comedy";1.0
42;"Comedy";0.666667
42;"Drama";0.333333
43;"Documentary";1.0
44;"Short";1.0
45;"Documentary";0.25
45;"Short";0.75
46;"Animation";1.0
46;"Family";1.0
46;"Short";1.0
47;"Drama";1.0
47;"Short";1.0
48;"Adventure";1.0
50;"Drama";1.0
50;"Romance";1.0
51;"Comedy";0.5
51;"Drama";0.5
51;"Musical";0.5
51;"War";0.5
52;"Comedy";0.666667
52;"Drama";0.333333
52;"Short";0.666667
52;"Thriller";0.333333
53;"Action";0.2
53;"Comedy";0.2
53;"Drama";0.8
53;"Romance";0.2
53;"War";0.2
54;"Drama";1.0
55;"Adventure";1.0
55;"Comedy";1.0
55;"Drama";1.0
56;"Drama";0.25
56;"Short";0.75
58;"Drama";0.5
58;"Short";1.0
59;"Adventure";0.1
59;"Documentary";0.7
59;"Drama";0.2
59;"Family";0.1
59;"Romance";0.05
59;"Short";0.4
61;"Action";0.5
61;"Drama";0.5
61;"Family";0.5
62;"Drama";0.666667
62;"Short";0.333333
62;"War";0.333333
63;"Documentary";1.0
63;"Short";1.0
67;"Comedy";1.0
68;"Comedy";1.0
68;"Documentary";1.0
70;"Action";1.0
70;"Crime";1.0
70;"Drama";1.0
70;"Musical";1.0
71;"Documentary";1.0
71;"Horror";0.166667
72;"Western";1.0
73;"Drama";1.0
73;"Family";1.0
73;"Mystery";1.0
73;"War";1.0
74;"Comedy";0.75
74;"Documentary";0.25
74;"Short";0.5
75;"Adventure";0.0769231
75;"Comedy";0.307692
75;"Drama";0.538462
75;"Musical";0.230769
75;"Romance";0.307692
75;"Short";0.153846
76;"Documentary";1.0
79;"Documentary";1.0
79;"Short";1.0
80;"Comedy";1.0
80;"Drama";1.0
80;"Short";1.0
81;"Comedy";1.0
81;"Documentary";0.5
83;"Short";1.0
84;"Documentary";1.0
86;"Short";1.0
87;"Animation";0.5
87;"Comedy";0.5
87;"Drama";0.5
87;"Family";0.5
88;"Documentary";1.0
89;"Comedy";1.0
89;"Crime";0.666667
89;"Drama";1.0
89;"Romance";1.0
92;"Comedy";0.5
92;"Drama";0.5
92;"Musical";0.5
92;"Thriller";0.5
93;"Action";0.142857
93;"Comedy";0.571429
93;"Drama";0.428571
93;"Musical";0.285714
93;"Romance";0.428571
97;"Drama";1.0
97;"Romance";1.0
98;"Animation";1.0
98;"Family";0.5
99;"Drama";1.0
100;"Drama";1.0
100;"Romance";1.0
103;"Documentary";1.0
103;"Short";1.0
104;"Crime";0.1
104;"Drama";1.0
104;"War";0.1
105;"Short";1.0
107;"Short";1.0
108;"Drama";1.0
109;"Action";1.0
110;"Short";1.0
111;"Drama";0.6
111;"Short";0.4
112;"Documentary";1.0
112;"War";1.0
113;"Animation";1.0
114;"Short";1.0
115;"Action";0.5
115;"Animation";1.0
115;"Comedy";0.5
115;"Family";0.5
115;"Fantasy";1.0
116;"Animation";1.0
116;"Comedy";1.0
116;"Fantasy";1.0
116;"Short";1.0
118;"Action";1.0
118;"Adventure";1.0
118;"Animation";1.0
118;"Comedy";1.0
118;"Drama";1.0
118;"Short";1.0
119;"Animation";1.0
119;"Fantasy";1.0
119;"Musical";1.0
119;"Short";1.0
121;"Comedy";1.0
121;"Family";1.0
122;"Comedy";0.25
122;"Drama";0.75
122;"Romance";0.25
122;"War";0.25
123;"Short";1.0
124;"Crime";0.375
124;"Documentary";0.25
124;"Drama";0.125
124;"Family";0.125
124;"Horror";0.5
124;"Mystery";0.75
124;"Short";0.625
124;"Thriller";0.5
125;"Animation";1.0
125;"Short";1.0
126;"Documentary";1.0
127;"Comedy";1.0
129;"Comedy";0.2
129;"Documentary";0.4
129;"Drama";0.4
129;"Musical";0.2
129;"Romance";0.2
129;"Short";0.6
130;"Comedy";1.0
131;"Documentary";1.0
131;"Music";0.75
132;"Drama";1.0
132;"Romance";1.0
135;"Drama";1.0
135;"Short";1.0
137;"Drama";1.0
137;"Short";1.0
138;"Documentary";1.0
139;"Documentary";0.666667
139;"Short";0.333333
140;"Action";0.0526316
140;"Comedy";0.105263
140;"Crime";0.0526316
140;"Drama";0.894737
140;"Romance";0.368421
141;"Comedy";1.0
141;"Musical";1.0
144;"Documentary";1.0
145;"Drama";1.0
146;"Documentary";1.0
146;"Short";1.0
148;"Animation";0.5
148;"Short";0.5
149;"Drama";0.333333
149;"Music";0.333333
149;"Short";0.333333
149;"Thriller";0.333333
150;"Horror";1.0
150;"Thriller";1.0
151;"Drama";0.75
151;"Family";0.25
151;"Romance";0.5
151;"Short";0.25
152;"Drama";0.5
152;"Music";0.5
152;"Short";0.5
